date,anomaly,error
2005-01-01,-2.295375250155601,1.2424562196788527
2005-02-01,-0.42507881041010975,1.3359710416661272
2005-03-01,2.7204540605657073,1.4932476852149181
2005-04-01,4.210921971111514,1.5677710807422085
2005-05-01,8.390545574077127,1.776752260890489
2005-06-01,8.70560643895087,1.7925053041341763
2005-07-01,5.758882470105437,1.6451691056919047
2005-08-01,2.3439818354460016,1.474424073958933
2005-09-01,0.6917267466419332,1.3918113195187294
2005-10-01,-0.3972230900727638,1.3373638276829947
2005-11-01,-0.48752382843595043,1.3328487907648352
2005-12-01,4.114237964239056,1.5629368803985857
