STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
CLK,2005-01-01,78979842.05816641,M3,15,M, ,STORAGE,20050101 0000
CLK,2005-02-01,79177199.15217403,M3,15,M,e,STORAGE,20050201 0000
CLK,2005-03-01,85159586.06427939,M3,15,M,r,STORAGE,20050301 0000
CLK,2005-04-01,95607177.22830673,M3,15,M, ,STORAGE,20050401 0000
CLK,2005-05-01,127899731.73530027,M3,15,M, ,STORAGE,20050501 0000
CLK,2005-06-01,113208963.05010955,M3,15,M,e,STORAGE,20050601 0000
CLK,2005-07-01,87059148.09410255,M3,15,M, ,STORAGE,20050701 0000
CLK,2005-08-01,40470539.08993347,M3,15,M, ,STORAGE,20050801 0000
CLK,2005-09-01,68223880.43475223,M3,15,M, ,STORAGE,20050901 0000
CLK,2005-10-01,66385992.49680645,M3,15,M, ,STORAGE,20051001 0000
CLK,2005-11-01,75143713.5433937,M3,15,M, ,STORAGE,20051101 0000
CLK,2005-12-01,139062742.36510515,M3,15,M, ,STORAGE,20051201 0000
